ID,Breed,Nei_GrayWolf,Breed group,Age(M),Sex,SpayOrNeut,test?,NumberOfTrialSessions,NumberOfChoices_probe_novel,Neophobia,CortiConc_Ave(*50),CortiConc_SD,Stranger-directed aggression,Owner-directed aggression,Dog-directed aggression,Familiar dog aggression,Trainability,Chasing,Stranger-directed fear,Nonsocial fear,Separation-related Behavior,Touch Sensitivity,Energy,Attachment,Excitability
dog1,Bernese Mountain Dog,0.257125,European,63,F,yes,yes,4,0,-11.53,38.83105511,26.20173394,0,0,0.375,0,2.375,2,0.25,2.5,0.125,0.25,0.666666667,0.666666667,0.5
dog2,Bichon Frise,0.20986,European,46,F,yes,yes,6,1,0.525,47.73475673,11.48596019,1.6,0.125,2.125,0,2.625,1.333333333,1,0.666666667,0.25,0.25,1.666666667,1.333333333,1.5
dog3,NorfolkTerrier,0.288635,European,83,F,yes,no,NA,NA,NA,71.2235861,18.7257132,0.2,0.25,1.375,0,2.375,2.666666667,0.75,1,0,0.25,1.666666667,1.166666667,3
dog4,YorkshireTerrier,0.218358,European,136,M,yes,yes,3,2,1.78,193.2524254,27.80899222,0.1,0.5,1.142857143,0,2.625,0,0,0.166666667,0.375,0.25,1.333333333,1.5,1.5
dog5,Golden Retriever,0.230311,European,67,M,no,no,NA,NA,NA,96.00949597,19.70639785,0.1,0,1.75,0,2.375,0.333333333,0.25,1.166666667,0,0.5,0.666666667,1.166666667,1
dog6,Mongrel,NA,Mongrel,NA,M,NA,no,NA,NA,NA,35.13677171,5.680714761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dog7,Border Collie,0.211265,European,29,M,no,no,NA,NA,NA,22.03493739,5.704477988,1.9,1.625,2.625,1.25,2.375,2.666666667,2,1.833333333,0.125,1.75,2.833333333,2.333333333,1.5
dog8,Standard Poodle,0.240335,European,124,M,yes,yes,3,1,0.345,46.46488126,5.192737424,0.9,0,2.375,0.25,3.125,2.666666667,1.5,1,0.75,0.5,2.166666667,2,3
dog9,Border Collie,0.211265,European,49,F,yes,yes,5,3,-0.73,45.33128934,7.46155838,0,0,0.833333333,0,2.75,3,0,1.833333333,0.25,1,1.166666667,2.333333333,1
dog10,Toy Poodle,0.20393,European,19,M,no,yes,4,1,-0.42,40.20875452,6.086118351,0.6,0,0.25,1,3,0.666666667,0,0,0.25,0,4,2.333333333,2
dog11,Dachshund,0.202734,European,26,M,no,no,NA,NA,NA,32.5938082,10.64159463,0.8,0,1.875,1.25,3,1.333333333,2.25,2.166666667,0.5,0.25,4,2,2.5
dog12,Toy Poodle,0.20393,European,135,M,no,no,NA,NA,NA,96.6383546,8.493921745,1,0.75,1.75,0,2.25,0,1,0.666666667,0,0,2.833333333,2.333333333,0.5
dog13,Golden Retriever,0.230311,European,48,M,yes,yes,6,2,-0.03,67.73181723,20.45544123,0.1,0,1.166666667,0,2.625,2,0.5,2.166666667,0.125,0.25,0.333333333,2.2,2
dog14,Samoyed,0.213849,European,33,M,yes,no,NA,NA,NA,37.66487491,6.490566108,0,0,0.714285714,0,2.125,0,0,0.833333333,0,0.75,1,0.5,1
